data-tooltip,data-posicion-mister-mixto-2,data-valor,data-totalpartidosjugados,data-totalgoles,data-totalasistencias,data-totalamarillas,data-totalrojas,data-edad,data-lesion,data-probabilidad,data-onceff,texto
,,,4,0,0,0,0,29,-1,Titular,,1.90
,,,4,0,2,0,0,32,-1,Titular,,1 1.86
,,,3,2,0,1,0,24,-1,Titular,,1 C 2 2 FC 0 1 1.78
,,,3,0,1,0,0,31,-1,Titular,,1.82
,,,4,0,0,0,0,32,-1,Titular,,1.91
,,,4,0,0,0,0,23,-1,Titular,,1.73
,,,4,1,0,0,0,26,-1,Titular,,1 1.88
,,,3,0,0,1,1,36,-1,Titular,,C 0 1 1.81
,,,4,1,0,0,0,24,-1,Titular,,1 1.81
,,,3,0,1,1,0,33,-1,Titular,,1.75
,,,3,0,0,0,0,27,-1,Titular,,1.82
,,,4,1,1,0,0,23,-1,Titular,,1.74
,,,4,1,1,1,0,25,-1,Titular,,1.74
,,,4,0,1,1,0,28,-1,Titular,,1.88
,,,3,1,0,1,0,23,-1,Titular,,1.91
