fecha,jugador,equipo,valor
2026-09-20,Antonio Sivera Sivera,Alavés,10250000
2026-09-20,Andoni Gorosabel Gorosabel,Espanyol,180000
2026-09-20,Abdel Abqar Abqar,Getafe,384000
2026-09-20,Ander Guevara Guevara,Alavés,167000
2026-09-20,Antonio Blanco Blanco,Alavés,7291000
2026-09-20,Luis Rioja Rioja,Valencia,2442000
2026-09-20,Nahuel Tenaglia Tenaglia,Alavés,10031000
2026-09-20,Kike García Kike García,Espanyol,160000
2026-09-20,Jon Guridi Guridi,Sevilla,3598000
2026-09-20,Giuliano Simeone Giuliano,Atlético,10043000
2026-09-20,Abde Rebbach Rebbach,Alavés,2001000
2026-09-20,Carlos Benavidez Protesoni,Alavés,172000
2026-09-20,Marc Pubill Pubill,Atlético,10114000
2026-09-20,Unai Simón Unai Simón,Athletic,10107000
2026-09-20,Dani Vivian Vivian,Athletic,1218000
2026-09-20,Aitor Paredes Paredes,Athletic,4383000
2026-09-20,Yeray Álvarez Yeray,Athletic,2618000
2026-09-20,Álex Berenguer Berenguer,Athletic,5057000
2026-09-20,Oihan Sancet Sancet,Athletic,8717000
2026-09-20,Iñaki Williams I. Williams,Athletic,6295000
2026-09-20,Nico Williams N. Williams,Athletic,11272000
2026-09-20,Gorka Guruzeta Guruzeta,Athletic,3840000
2026-09-20,Julen Agirrezabala Agirrezabala,Racing,5436000
2026-09-20,Íñigo Ruiz de Galarreta R. de Galarreta,Athletic,5524000
2026-09-20,Yuri Berchiche Yuri,Athletic,5314000
2026-09-20,Asier Villalibre Villalibre,Racing,2147000
2026-09-20,Beñat Prados Prados,Athletic,160000
2026-09-20,José María Giménez Giménez,Deportivo,2266000
2026-09-20,Koke Resurrección Koke,Atlético,8506000
2026-09-20,Thomas Lemar Lemar,Elche,1242000
2026-09-20,Jan Oblak Oblak,Atlético,10045000
2026-09-20,Marcos Llorente M. Llorente,Atlético,10219000
2026-09-20,Javi Galán Galán,Celta,2741000
2026-09-20,Pablo Barrios Barrios,Atlético,10802000
2026-09-20,Rodrigo Riquelme Riquelme,Betis,5495000
2026-09-20,Joao Cancelo Cancelo,Barcelona,11603000
2026-09-20,Alejandro Balde Balde,Barcelona,2499000
2026-09-20,Pablo Gavi Gavi,Barcelona,4350000
2026-09-20,Pedri González Pedri,Barcelona,21758000
2026-09-20,Raphinha Raphinha,Barcelona,20572000
2026-09-20,Andreas Christensen A. Christensen,Barcelona,2949000
2026-09-20,Marcos Alonso M. Alonso,Celta,8716000
2026-09-20,Frenkie de Jong F. de Jong,Barcelona,2882000
2026-09-20,Jules Koundé Koundé,Barcelona,6800000
2026-09-20,Lamine Yamal Yamal,Barcelona,23686000
2026-09-20,Fermín López Fermín,Barcelona,17616000
2026-09-20,Héctor Bellerín Bellerín,Betis,5450000
2026-09-20,Guido Rodríguez Guido,Valencia,7297000
2026-09-20,Abde Ezzalzouli Abde,Betis,12566000
2026-09-20,Borja Iglesias Iglesias,Celta,6414000
2026-09-20,Ayoze Pérez Ayoze,Villarreal,5638000
2026-09-20,Marc Bartra Bartra,Betis,6057000
2026-09-20,Juan Cruz Juan Cruz,Málaga,1837000
2026-09-20,Marc Roca Marc Roca,Betis,6841000
2026-09-20,Isco Alarcón Isco,Betis,10397000
2026-09-20,Aitor Ruibal Ruibal,Betis,196000
2026-09-20,Víctor Chust Chust,Elche,2434000
2026-09-20,Robert Navarro Navarro,Athletic,2970000
2026-09-20,Carl Starfelt Starfelt,Celta,2985000
2026-09-20,Unai Núñez U. Núñez,Espanyol,2804000
2026-09-20,Carlos Dotor Dotor,Málaga,2134000
2026-09-20,Iago Aspas Aspas,Celta,5142000
2026-09-20,Iván Villar Iván Villar,Celta,174000
2026-09-20,Williot Swedberg Swedberg,Celta,1867000
2026-09-20,Manu Sánchez Manu Sánchez,Levante,3177000
2026-09-20,Miguel Rodríguez Miguel,Alavés,193000
2026-09-20,Hugo Sotelo Sotelo,Levante,327000
2026-09-20,Dakonam Djené Djené,Getafe,2832000
2026-09-20,Enes Ünal Enes Ünal,Getafe,5395000
2026-09-20,Carles Aleñá Aleñá,Alavés,582000
2026-09-20,David Soria Soria,Getafe,10178000
2026-09-20,Diego Rico Diego Rico,Osasuna,255000
2026-09-20,José Ángel Carmona Carmona,Sevilla,225000
2026-09-20,Borja Mayoral Mayoral,Getafe,665000
2026-09-20,Juan Iglesias Iglesias,Sevilla,6172000
2026-09-20,Arnau Martínez Arnau,Valencia,3258000
2026-09-20,Yangel Herrera Herrera,Real Sociedad,3799000
2026-09-20,Iván Martín Iván Martín,Racing,1919000
2026-09-20,Eric Garcia Eric Garcia,Barcelona,14564000
2026-09-20,Lucas Boyé Boyé,Alavés,8972000
2026-09-20,Gonzalo Villar Villar,Elche,4535000
2026-09-20,Bryan Zaragoza Bryan,Espanyol,8013000
2026-09-20,Álvaro F. Carreras A. F. Carreras,Real Madrid,2996000
2026-09-20,Sergi Cardona S. Cardona,Villarreal,538000
2026-09-20,Alberto Moleiro Moleiro,Villarreal,11012000
2026-09-20,Álvaro Valles Valles,Betis,10726000
2026-09-20,José Manuel Copete Copete,Valencia,186000
2026-09-20,Pablo Maffeo Maffeo,Valencia,2392000
2026-09-20,Sergio Herrera Herrera,Osasuna,7183000
2026-09-20,Lucas Torró Torró,Osasuna,583000
2026-09-20,Jon Moncayola Moncayola,Osasuna,3547000
2026-09-20,Aimar Oroz Oroz,Osasuna,2408000
2026-09-20,Kike Barja Kike Barja,Osasuna,1081000
2026-09-20,Jesús Areso Areso,Athletic,2107000
2026-09-20,Aitor Fernández Aitor,Osasuna,432000
2026-09-20,Rubén García Rubén G.,Osasuna,3772000
2026-09-20,Moi Gómez Moi Gómez,Osasuna,759000
2026-09-20,Ante Budimir Budimir,Osasuna,16397000
2026-09-20,Pablo Ibáñez Ibáñez,Alavés,5126000
2026-09-20,Johan Mojica Mojica,Getafe,4417000
2026-09-20,Raúl García Raúl García,Osasuna,1940000
2026-09-20,Alejandro Catena Catena,Osasuna,8746000
2026-09-20,Jorge Herrando Herrando,Osasuna,160000
2026-09-20,Iker Muñoz Iker Muñoz,Osasuna,2536000
2026-09-20,Stole Dimitrievski Dimitrievski,Valencia,6757000
2026-09-20,Andrei Ratiu Ratiu,Rayo,7199000
2026-09-20,Isi Palazón Isi,Rayo,3219000
2026-09-20,Randy Nteka Nteka,Rayo,327000
2026-09-20,Dani Cárdenas Cárdenas,Rayo,1522000
2026-09-20,Unai López Unai López,Rayo,5158000
2026-09-20,Álvaro García Álvaro García,Rayo,8414000
2026-09-20,Jorge de Frutos De Frutos,Rayo,6610000
2026-09-20,Iván Balliu Balliu,Rayo,523000
2026-09-20,Pathé Ciss Pathé Ciss,Rayo,3623000
2026-09-20,Raúl De Tomás De Tomás,Rayo,175000
2026-09-20,Óscar Valentín Valentín,Rayo,1608000
2026-09-20,Florian Lejeune Lejeune,Rayo,6955000
2026-09-20,Sergio Camello Camello,Rayo,8653000
2026-09-20,Thibaut Courtois Courtois,Real Madrid,10036000
2026-09-20,Éder Militão Militão,Real Madrid,1548000
2026-09-20,Jude Bellingham Bellingham,Real Madrid,20056000
2026-09-20,Vinicius Junior Vinicius,Real Madrid,19997000
2026-09-20,Rodrygo Goes Rodrygo,Real Madrid,531000
2026-09-20,Eduardo Camavinga Camavinga,Real Madrid,4843000
2026-09-20,Andriy Lunin Lunin,Real Madrid,246000
2026-09-20,Federico Valverde Valverde,Real Madrid,15190000
2026-09-20,Aurélien Tchouaméni Tchouaméni,Real Madrid,9887000
2026-09-20,Dani Ceballos Ceballos,Betis,1322000
2026-09-20,Fran García Fran García,Betis,6725000
2026-09-20,Brahim Díaz Brahim,Real Madrid,3110000
2026-09-20,Antonio Rüdiger Rüdiger,Real Madrid,5577000
2026-09-20,Ferland Mendy Mendy,Real Madrid,198000
2026-09-20,Arda Güler Güler,Real Madrid,15304000
2026-09-20,Álex Remiro Remiro,Real Sociedad,9984000
2026-09-20,Álvaro Odriozola Odriozola,Real Sociedad,160000
2026-09-20,Aihen Muñoz Aihen,Real Sociedad,203000
2026-09-20,Igor Zubeldia Zubeldia,Real Sociedad,2924000
2026-09-20,Ander Barrenetxea Barrenetxea,Real Sociedad,7086000
2026-09-20,Mikel Oyarzabal Oyarzabal,Real Sociedad,15884000
2026-09-20,Arsen Zakharyan Zakharyan,Real Sociedad,160000
2026-09-20,Takefusa Kubo Kubo,Real Sociedad,7920000
2026-09-20,Jon Ander Olasagasti Olasagasti,Levante,5323000
2026-09-20,Umar Sadiq Sadiq,Valencia,1589000
2026-09-20,Jon Pacheco Pacheco,Real Sociedad,160000
2026-09-20,Beñat Turrientes Turrientes,Real Sociedad,2731000
2026-09-20,Robin Le Normand Le Normand,Atlético,2288000
2026-09-20,Unai Marrero Marrero,Real Sociedad,600000
2026-09-20,Pablo Marín Marín,Real Sociedad,162000
2026-09-20,Urko González de Zarate Urko,Espanyol,1994000
2026-09-20,Marko Dmitrovic Dmitrovic,Espanyol,9865000
2026-09-20,Adrià Pedrosa Pedrosa,Rayo,1221000
2026-09-20,Nemanja Gudelj Gudelj,Getafe,1119000
2026-09-20,Mariano Díaz Mariano,Alavés,3966000
2026-09-20,Marcão Marcão,Sevilla,160000
2026-09-20,Kike Salas Kike Salas,Sevilla,5196000
2026-09-20,Manu Bueno Manu Bueno,Sevilla,190000
2026-09-20,Mouctar Diakhaby Diakhaby,Valencia,588000
2026-09-20,Sergi Canós Canós,Valencia,162000
2026-09-20,Javi Guerra Javi Guerra,Valencia,5272000
2026-09-20,Hugo Duro Duro,Valencia,3675000
2026-09-20,André Almeida Almeida,Racing,830000
2026-09-20,Cristian Rivero Rivero,Valencia,162000
2026-09-20,José Gayà Gayà,Valencia,2386000
2026-09-20,Diego López Diego López,Valencia,160000
2026-09-20,Pepelu Pepelu,Valencia,5068000
2026-09-20,Dimitri Foulquier Foulquier,Valencia,163000
2026-09-20,Jesús Vázquez Jesús Vázquez,Valencia,777000
2026-09-20,Fran Pérez Fran Pérez,Rayo,163000
2026-09-20,Hugo González Hugo González,Celta,933000
2026-09-20,César Tárrega Tárrega,Valencia,2484000
2026-09-20,Santi Comesaña Comesaña,Villarreal,5318000
2026-09-20,Gerard Moreno Gerard,Villarreal,13757000
2026-09-20,Juan Foyth Foyth,Villarreal,4173000
2026-09-20,Alexander Sorloth Sörloth,Atlético,5081000
2026-09-20,Álex Baena Baena,Atlético,12797000
2026-09-20,Kiko Femenia Femenia,Getafe,403000
2026-09-20,Ramón Terrats Terrats,Getafe,5673000
2026-09-20,Denis Suárez Denis Suárez,Alavés,2142000
2026-09-20,Aissa Mandi Mandi,Levante,5384000
2026-09-20,Ilias Akhomach Akhomach,Villarreal,559000
2026-09-20,Carlos Romero Romero,Villarreal,8651000
2026-09-20,Adrià Altimira Altimira,Deportivo,1359000
2026-09-20,Mikel Jauregizar Jauregizar,Athletic,1694000
2026-09-20,Johnny Cardoso Cardoso,Atlético,645000
2026-09-20,Hugo Álvarez Hugo Álvarez,Celta,524000
2026-09-20,Augusto Batalla Batalla,Rayo,2893000
2026-09-20,Ilaix Moriba Moriba,Celta,3887000
2026-09-20,Isaac Romero Romero,Sevilla,3896000
2026-09-20,Lucien Agoume Agoume,Sevilla,6077000
2026-09-20,Jon Aramburu Aramburu,Real Sociedad,6256000
2026-09-20,Gonçalo Guedes Guedes,Real Sociedad,6521000
2026-09-20,Pau Cubarsí Cubarsí,Barcelona,16206000
2026-09-20,Karl Etta Eyong Etta Eyong,Levante,2380000
2026-09-20,Héctor Fort Fort,Real Sociedad,1460000
2026-09-20,Juanmi Jiménez Juanmi,Getafe,160000
2026-09-20,Pablo Fornals Fornals,Betis,14564000
2026-09-20,Mario Martín Mario Martín,Getafe,955000
2026-09-20,Marc Casadó Casadó,Deportivo,1623000
2026-09-20,Joan Garcia Joan Garcia,Barcelona,15208000
2026-09-20,Fernando Calero Calero,Málaga,179000
2026-09-20,Leandro Cabrera Cabrera,Espanyol,5259000
2026-09-20,Omar El Hilali El Hilali,Espanyol,5478000
2026-09-20,Rubén Sánchez Rubén Sánchez,Elche,318000
2026-09-20,Edu Expósito Edu Expósito,Espanyol,10062000
2026-09-20,Pol Lozano Lozano,Espanyol,160000
2026-09-20,Javi Puado Puado,Espanyol,349000
2026-09-20,Jofre Carreras Jofre,Espanyol,160000
2026-09-20,Pere Milla Pere Milla,Espanyol,1729000
2026-09-20,Christantus Uche Uche,Getafe,1994000
2026-09-20,Diego Conde Conde,Betis,171000
2026-09-20,Daniel Raba Raba,Valencia,174000
2026-09-20,Endrick Endrick,Real Madrid,716000
2026-09-20,Chidera Ejuke Ejuke,Sevilla,3710000
2026-09-20,Boyomo Boyomo,Osasuna,3501000
2026-09-20,Raul Moro Raul Moro,Osasuna,1810000
2026-09-20,Kylian Mbappé Mbappé,Real Madrid,24647000
2026-09-20,Pelayo Fernández Pelayo,Rayo,160000
2026-09-20,Arnaut Danjuma Danjuma,Valencia,4889000
2026-09-20,Iker Losada Losada,Betis,204000
2026-09-20,Valentin Rosier Rosier,Osasuna,656000
2026-09-20,Abel Bretones Bretones,Osasuna,2917000
2026-09-20,Pape Gueye Pape Gueye,Villarreal,12072000
2026-09-20,Nico Serrano Serrano,Athletic,160000
2026-09-20,Álvaro Djaló Djaló,Athletic,167000
2026-09-20,Santiago Mouriño Mouriño,Villarreal,4555000
2026-09-20,Germán Valera Valera,Elche,6971000
2026-09-20,Sergio Carreira Carreira,Celta,5240000
2026-09-20,Julen Lobete Lobete,Málaga,176000
2026-09-20,Leo Román Leo Román,Deportivo,10001000
2026-09-20,Andrés Martín Andrés Martín,Racing,3811000
2026-09-20,Diego Javier Llorente D. Llorente,Betis,2581000
2026-09-20,Peque Peque,Sevilla,1693000
2026-09-20,Sergio Gómez Sergio Gómez,Real Sociedad,6380000
2026-09-20,Jiri Letácek Letácek,Getafe,161000
2026-09-20,Alex Padilla Padilla,Athletic,160000
2026-09-20,Pablo Durán Durán,Celta,674000
2026-09-20,Hugo Novoa Novoa,Alavés,160000
2026-09-20,Luka Sucic L. Sucic,Real Sociedad,6016000
2026-09-20,Pedro Díaz Pedro Díaz,Rayo,944000
2026-09-20,Nicolas Pépé Pépé,Villarreal,15160000
2026-09-20,Dani Olmo Olmo,Barcelona,14538000
2026-09-20,Julián Álvarez Alvarez,Atlético,11702000
2026-09-20,Álvaro Fernández Álvaro,Deportivo,160000
2026-09-20,Marc Bernal Bernal,Barcelona,10216000
2026-09-20,Natan Natan,Betis,7321000
2026-09-20,Javi Rodríguez Javi Rodríguez,Celta,1782000
2026-09-20,Gerard Martín Martín,Barcelona,10305000
2026-09-20,David Otorbi Otorbi,Valencia,660000
2026-09-20,Marash Kumbulla Kumbulla,Rayo,160000
2026-09-20,Juan Berrocal Berrocal,Málaga,177000
2026-09-20,Luiz Junior Luiz Junior,Villarreal,3558000
2026-09-20,Logan Costa Logan Costa,Villarreal,375000
2026-09-20,Alfonso González Alfon,Sevilla,160000
2026-09-20,Jon Martín Jon Martín,Real Sociedad,5775000
2026-09-20,Toni Martinez Toni Martinez,Alavés,6863000
2026-09-20,Juan Musso Musso,Atlético,173000
2026-09-20,Giovani Lo Celso Lo Celso,Betis,3754000
2026-09-20,Orri Steinn Óskarsson Óskarsson,Real Sociedad,5190000
2026-09-20,Peio Canales Canales,Athletic,1648000
2026-09-20,Wojciech Szczesny Szczesny,Barcelona,404000
2026-09-20,Pau Navarro Pau Navarro,Villarreal,1090000
2026-09-20,Rafel Bauzà Bauzà,Espanyol,181000
2026-09-20,Raúl Asencio Asencio,Real Madrid,175000
2026-09-20,Facundo Garcés Garcés,Alavés,191000
2026-09-20,Pablo Ramón Pablo Ramón,Racing,2367000
2026-09-20,Jones El-Abdellaoui El-Abdellaoui,Celta,161000
2026-09-20,Rubén Vargas Vargas,Sevilla,2315000
2026-09-20,Roberto Fernández Roberto,Espanyol,10519000
2026-09-20,Yoel Lago Lago,Celta,1833000
2026-09-20,Adrián Niño Niño,Málaga,545000
2026-09-20,Ángel Ortiz Ortiz,Betis,266000
2026-09-20,Pablo García Pablo García,Racing,2355000
2026-09-20,Antony Antony,Betis,15017000
2026-09-20,Maroan Sannadi Sannadi,Athletic,162000
2026-09-20,Tajon Buchanan Buchanan,Villarreal,5077000
2026-09-20,Cucho Hernández Cucho,Betis,9333000
2026-09-20,Adam Aznou Aznou,Málaga,271000
2026-09-20,Luken Beitia Beitia,Real Sociedad,160000
2026-09-20,Adrián Rodríguez Adrián,Alavés,168000
2026-09-20,Yan Diomande Y. Diomande,Real Madrid,16409000
2026-09-20,Fran González Fran González,Sevilla,185000
2026-09-20,Ionut Radu Radu,Celta,9577000
2026-09-20,Trent Alexander-Arnold Alexander-Arnold,Real Madrid,6204000
2026-09-20,Bambo Diaby Bambo,Elche,160000
2026-09-20,Pedro Bigas Bigas,Elche,401000
2026-09-20,Marc Aguado Aguado,Elche,2571000
2026-09-20,Matías Dituro Dituro,Elche,4900000
2026-09-20,Aleix Febas Febas,Celta,8701000
2026-09-20,Álvaro Núñez Á. Núñez,Celta,1057000
2026-09-20,Josan Ferrández Josan,Elche,208000
2026-09-20,Yago Santiago Santiago,Elche,160000
2026-09-20,Rodrigo Mendoza Mendoza,Atlético,331000
2026-09-20,Marcos Fernández Marcos,Espanyol,1082000
2026-09-20,Adrián de la Fuente De la Fuente,Levante,9153000
2026-09-20,Roger Brugué Brugui,Levante,1707000
2026-09-20,Iván Romero Iván Romero,Levante,5797000
2026-09-20,Oriol Rey Oriol Rey,Levante,1260000
2026-09-20,Pablo Martínez Pablo Martínez,Málaga,604000
2026-09-20,Hugo Rincón Rincón,Athletic,160000
2026-09-20,Jon Gorrotxategi Gorrotxategi,Real Sociedad,253000
2026-09-20,Ferran Jutglà Jutglà,Celta,6733000
2026-09-20,Jorge Cabello Jorge Cabello,Levante,160000
2026-09-20,Carlos Espí Carlos Espí,Real Madrid,8814000
2026-09-20,Dean Huijsen Huijsen,Real Madrid,10676000
2026-09-20,José Salinas Salinas,Málaga,1087000
2026-09-20,Jonny Castro Jonny,Alavés,5186000
2026-09-20,Víctor García Víctor García,Levante,564000
2026-09-20,Javi Rueda Rueda,Celta,2952000
2026-09-20,Davinchi Davinchi,Getafe,162000
2026-09-20,Luiz Felipe Luiz Felipe,Rayo,187000
2026-09-20,Unai Egiluz Egiluz,Athletic,160000
2026-09-20,Jeremy Toljan Toljan,Levante,1169000
2026-09-20,Gabriel Suazo Suazo,Sevilla,3895000
2026-09-20,Youssef Enríquez Youssef,Alavés,1910000
2026-09-20,Junior Firpo Junior,Betis,322000
2026-09-20,Alejandro Iturbe Iturbe,Elche,193000
2026-09-20,David Hancko Hancko,Atlético,9456000
2026-09-20,Tyrhys Dolan Dolan,Espanyol,4750000
2026-09-20,Roony Bardghji Bardghji,Barcelona,199000
2026-09-20,Valentín Gómez Valentín Gómez,Betis,295000
2026-09-20,Martim Neto Martim Neto,Elche,168000
