fecha,jugador,equipo,valor,fecha_ayer,valor_ayer,cambio,cambio_web
2026-09-26,Andoni Gorosabel Gorosabel,Espanyol,198000,2026-09-25,198000,0,0
2026-09-26,Abdel Abqar Abqar,Getafe,187000,2026-09-25,223000,-36000,0
2026-09-26,Luis Rioja Rioja,Valencia,2644000,2026-09-25,2593000,51000,0
2026-09-26,Kike García Kike García,Espanyol,198000,2026-09-25,161000,37000,0
2026-09-26,Jon Guridi Guridi,Sevilla,3169000,2026-09-25,3276000,-107000,0
2026-09-26,Julen Agirrezabala Agirrezabala,Racing,5733000,2026-09-25,5654000,79000,0
2026-09-26,Asier Villalibre Villalibre,Racing,1826000,2026-09-25,1898000,-72000,0
2026-09-26,José María Giménez Giménez,Deportivo,2694000,2026-09-25,2580000,114000,0
2026-09-26,Thomas Lemar Lemar,Elche,1481000,2026-09-25,1418000,63000,0
2026-09-26,Marcos Alonso M. Alonso,Celta,8301000,2026-09-25,8301000,0,0
2026-09-26,Guido Rodríguez Guido,Valencia,7616000,2026-09-25,7564000,52000,0
2026-09-26,Borja Iglesias Iglesias,Celta,6301000,2026-09-25,6342000,-41000,0
2026-09-26,Ayoze Pérez Ayoze,Villarreal,5997000,2026-09-25,5893000,104000,0
2026-09-26,Juan Cruz Juan Cruz,Málaga,1621000,2026-09-25,1678000,-57000,0
2026-09-26,Víctor Chust Chust,Elche,2159000,2026-09-25,2233000,-74000,0
2026-09-26,Unai Núñez U. Núñez,Espanyol,2672000,2026-09-25,2738000,-66000,0
2026-09-26,Carlos Dotor Dotor,Málaga,2425000,2026-09-25,2350000,75000,0
2026-09-26,Iago Aspas Aspas,Celta,4430000,2026-09-25,4638000,-208000,0
2026-09-26,Williot Swedberg Swedberg,Celta,1643000,2026-09-25,1693000,-50000,0
2026-09-26,Manu Sánchez Manu Sánchez,Levante,3560000,2026-09-25,3462000,98000,0
2026-09-26,Hugo Sotelo Sotelo,Levante,169000,2026-09-25,160000,9000,0
2026-09-26,Dakonam Djené Djené,Getafe,3207000,2026-09-25,3103000,104000,0
2026-09-26,Enes Ünal Enes Ünal,Getafe,5450000,2026-09-25,5427000,23000,0
2026-09-26,David Soria Soria,Getafe,10363000,2026-09-25,10325000,38000,0
2026-09-26,Diego Rico Diego Rico,Osasuna,165000,2026-09-25,193000,-28000,0
2026-09-26,José Ángel Carmona Carmona,Sevilla,242000,2026-09-25,222000,20000,0
2026-09-26,Borja Mayoral Mayoral,Getafe,475000,2026-09-25,519000,-44000,0
2026-09-26,Juan Iglesias Iglesias,Sevilla,6607000,2026-09-25,6496000,111000,0
2026-09-26,Arnau Martínez Arnau,Valencia,2715000,2026-09-25,2834000,-119000,0
2026-09-26,Yangel Herrera Herrera,Real Sociedad,4339000,2026-09-25,4190000,149000,0
2026-09-26,Iván Martín Iván Martín,Racing,2186000,2026-09-25,2112000,74000,0
2026-09-26,Gonzalo Villar Villar,Elche,5115000,2026-09-25,5045000,70000,0
2026-09-26,Bryan Zaragoza Bryan,Espanyol,7470000,2026-09-25,7598000,-128000,0
2026-09-26,Álvaro F. Carreras A. F. Carreras,Real Madrid,3264000,2026-09-25,3198000,66000,0
2026-09-26,Sergi Cardona S. Cardona,Villarreal,620000,2026-09-25,584000,36000,0
2026-09-26,Alberto Moleiro Moleiro,Villarreal,11345000,2026-09-25,11264000,81000,0
2026-09-26,José Manuel Copete Copete,Valencia,160000,2026-09-25,164000,-4000,0
2026-09-26,Pablo Maffeo Maffeo,Valencia,2187000,2026-09-25,2226000,-39000,0
2026-09-26,Sergio Herrera Herrera,Osasuna,6640000,2026-09-25,6763000,-123000,0
