id,jornada,local,visitante,terminado,resultado,cuando,url
22421,1,Alavés,Getafe,1,3-0,,https://www.futbolfantasy.com/partidos/22421-alaves-getafe
22422,1,Atlético,Málaga,1,2-0,,https://www.futbolfantasy.com/partidos/22422-atletico-malaga
22423,1,Celta,Osasuna,1,1-2,,https://www.futbolfantasy.com/partidos/22423-celta-osasuna
22424,1,Deportivo,Elche,1,1-1,,https://www.futbolfantasy.com/partidos/22424-deportivo-elche
22425,1,Espanyol,Levante,1,3-0,,https://www.futbolfantasy.com/partidos/22425-espanyol-levante
22426,1,Barcelona,Athletic,1,2-0,,https://www.futbolfantasy.com/partidos/22426-barcelona-athletic
22427,1,Racing,Villarreal,1,2-2,,https://www.futbolfantasy.com/partidos/22427-racing-villarreal
22428,1,Real Madrid,Real Sociedad,1,4-1,,https://www.futbolfantasy.com/partidos/22428-real-madrid-real-sociedad
22429,1,Sevilla,Rayo,1,2-1,,https://www.futbolfantasy.com/partidos/22429-sevilla-rayo
22430,1,Valencia,Betis,1,0-1,,https://www.futbolfantasy.com/partidos/22430-valencia-betis
22433,2,Athletic,Sevilla,1,1-3,,https://www.futbolfantasy.com/partidos/22433-athletic-sevilla
22434,2,Atlético,Villarreal,1,2-2,,https://www.futbolfantasy.com/partidos/22434-atletico-villarreal
22435,2,Elche,Barcelona,1,0-5,,https://www.futbolfantasy.com/partidos/22435-elche-barcelona
22436,2,Espanyol,Real Madrid,1,1-2,,https://www.futbolfantasy.com/partidos/22436-espanyol-real-madrid
22437,2,Getafe,Racing,1,1-0,,https://www.futbolfantasy.com/partidos/22437-getafe-racing
22438,2,Málaga,Deportivo,1,1-1,,https://www.futbolfantasy.com/partidos/22438-malaga-deportivo
22439,2,Osasuna,Levante,1,0-0,,https://www.futbolfantasy.com/partidos/22439-osasuna-levante
22440,2,Rayo,Alavés,1,1-1,,https://www.futbolfantasy.com/partidos/22440-rayo-alaves
22441,2,Betis,Real Sociedad,1,1-0,,https://www.futbolfantasy.com/partidos/22441-betis-real-sociedad
22442,2,Valencia,Celta,1,0-0,,https://www.futbolfantasy.com/partidos/22442-valencia-celta
22443,3,Celta,Athletic,1,0-2,,https://www.futbolfantasy.com/partidos/22443-celta-athletic
22444,3,Alavés,Villarreal,1,1-0,,https://www.futbolfantasy.com/partidos/22444-alaves-villarreal
22445,3,Deportivo,Valencia,1,3-1,,https://www.futbolfantasy.com/partidos/22445-deportivo-valencia
22446,3,Barcelona,Rayo,1,5-2,,https://www.futbolfantasy.com/partidos/22446-barcelona-rayo
22447,3,Levante,Betis,1,5-2,,https://www.futbolfantasy.com/partidos/22447-levante-betis
