id,slug,url
22421,alaves-getafe,https://www.futbolfantasy.com/partidos/22421-alaves-getafe
22422,atletico-malaga,https://www.futbolfantasy.com/partidos/22422-atletico-malaga
22423,celta-osasuna,https://www.futbolfantasy.com/partidos/22423-celta-osasuna
22424,deportivo-elche,https://www.futbolfantasy.com/partidos/22424-deportivo-elche
22425,espanyol-levante,https://www.futbolfantasy.com/partidos/22425-espanyol-levante
22426,barcelona-athletic,https://www.futbolfantasy.com/partidos/22426-barcelona-athletic
22427,racing-villarreal,https://www.futbolfantasy.com/partidos/22427-racing-villarreal
22428,real-madrid-real-sociedad,https://www.futbolfantasy.com/partidos/22428-real-madrid-real-sociedad
22429,sevilla-rayo,https://www.futbolfantasy.com/partidos/22429-sevilla-rayo
22430,valencia-betis,https://www.futbolfantasy.com/partidos/22430-valencia-betis
22433,athletic-sevilla,https://www.futbolfantasy.com/partidos/22433-athletic-sevilla
22434,atletico-villarreal,https://www.futbolfantasy.com/partidos/22434-atletico-villarreal
22435,elche-barcelona,https://www.futbolfantasy.com/partidos/22435-elche-barcelona
22436,espanyol-real-madrid,https://www.futbolfantasy.com/partidos/22436-espanyol-real-madrid
22437,getafe-racing,https://www.futbolfantasy.com/partidos/22437-getafe-racing
22438,malaga-deportivo,https://www.futbolfantasy.com/partidos/22438-malaga-deportivo
22439,osasuna-levante,https://www.futbolfantasy.com/partidos/22439-osasuna-levante
22440,rayo-alaves,https://www.futbolfantasy.com/partidos/22440-rayo-alaves
22441,betis-real-sociedad,https://www.futbolfantasy.com/partidos/22441-betis-real-sociedad
22442,valencia-celta,https://www.futbolfantasy.com/partidos/22442-valencia-celta
22443,celta-athletic,https://www.futbolfantasy.com/partidos/22443-celta-athletic
22444,alaves-villarreal,https://www.futbolfantasy.com/partidos/22444-alaves-villarreal
22445,deportivo-valencia,https://www.futbolfantasy.com/partidos/22445-deportivo-valencia
22446,barcelona-rayo,https://www.futbolfantasy.com/partidos/22446-barcelona-rayo
22447,levante-betis,https://www.futbolfantasy.com/partidos/22447-levante-betis
22448,osasuna-getafe,https://www.futbolfantasy.com/partidos/22448-osasuna-getafe
22449,real-madrid-malaga,https://www.futbolfantasy.com/partidos/22449-real-madrid-malaga
22450,racing-elche,https://www.futbolfantasy.com/partidos/22450-racing-elche
22451,real-sociedad-espanyol,https://www.futbolfantasy.com/partidos/22451-real-sociedad-espanyol
22452,sevilla-atletico,https://www.futbolfantasy.com/partidos/22452-sevilla-atletico
22453,athletic-atletico,https://www.futbolfantasy.com/partidos/22453-athletic-atletico
22454,alaves-osasuna,https://www.futbolfantasy.com/partidos/22454-alaves-osasuna
22455,elche-real-sociedad,https://www.futbolfantasy.com/partidos/22455-elche-real-sociedad
22456,espanyol-sevilla,https://www.futbolfantasy.com/partidos/22456-espanyol-sevilla
22457,getafe-celta,https://www.futbolfantasy.com/partidos/22457-getafe-celta
22458,malaga-levante,https://www.futbolfantasy.com/partidos/22458-malaga-levante
22459,rayo-racing,https://www.futbolfantasy.com/partidos/22459-rayo-racing
22460,betis-real-madrid,https://www.futbolfantasy.com/partidos/22460-betis-real-madrid
22461,valencia-barcelona,https://www.futbolfantasy.com/partidos/22461-valencia-barcelona
22462,villarreal-deportivo,https://www.futbolfantasy.com/partidos/22462-villarreal-deportivo
22463,athletic-elche,https://www.futbolfantasy.com/partidos/22463-athletic-elche
22464,celta-malaga,https://www.futbolfantasy.com/partidos/22464-celta-malaga
22465,getafe-deportivo,https://www.futbolfantasy.com/partidos/22465-getafe-deportivo
22466,levante-barcelona,https://www.futbolfantasy.com/partidos/22466-levante-barcelona
22467,osasuna-espanyol,https://www.futbolfantasy.com/partidos/22467-osasuna-espanyol
22468,real-madrid-rayo,https://www.futbolfantasy.com/partidos/22468-real-madrid-rayo
22469,racing-alaves,https://www.futbolfantasy.com/partidos/22469-racing-alaves
22470,real-sociedad-atletico,https://www.futbolfantasy.com/partidos/22470-real-sociedad-atletico
22471,sevilla-valencia,https://www.futbolfantasy.com/partidos/22471-sevilla-valencia
22472,villarreal-betis,https://www.futbolfantasy.com/partidos/22472-villarreal-betis
22473,atletico-osasuna,https://www.futbolfantasy.com/partidos/22473-atletico-osasuna
22474,alaves-valencia,https://www.futbolfantasy.com/partidos/22474-alaves-valencia
22475,deportivo-sevilla,https://www.futbolfantasy.com/partidos/22475-deportivo-sevilla
22476,elche-real-madrid,https://www.futbolfantasy.com/partidos/22476-elche-real-madrid
22477,barcelona-racing,https://www.futbolfantasy.com/partidos/22477-barcelona-racing
