fuente,jornada,jugador,equipo,puntos,jugo,capturado
mixto2,7,Íñigo Ruiz de Galarreta R. de Galarreta,Athletic,6.0,1,2026-09-25
mixto2,5,Íñigo Ruiz de Galarreta R. de Galarreta,Athletic,4.0,1,2026-09-25
mixto2,4,Íñigo Ruiz de Galarreta R. de Galarreta,Athletic,3.0,1,2026-09-25
mixto2,3,Íñigo Ruiz de Galarreta R. de Galarreta,Athletic,7.0,1,2026-09-25
mixto2,1,Íñigo Ruiz de Galarreta R. de Galarreta,Athletic,,0,2026-09-25
mixto2,2,Íñigo Ruiz de Galarreta R. de Galarreta,Athletic,2.0,1,2026-09-25
mixto2,7,Aymeric Laporte Laporte,Athletic,6.0,1,2026-09-25
mixto2,5,Aymeric Laporte Laporte,Athletic,4.0,1,2026-09-25
mixto2,4,Aymeric Laporte Laporte,Athletic,6.0,1,2026-09-25
mixto2,3,Aymeric Laporte Laporte,Athletic,5.0,1,2026-09-25
mixto2,1,Aymeric Laporte Laporte,Athletic,0.0,1,2026-09-25
mixto2,2,Aymeric Laporte Laporte,Athletic,5.0,1,2026-09-25
mixto2,7,Yuri Berchiche Yuri,Athletic,7.0,1,2026-09-25
mixto2,5,Yuri Berchiche Yuri,Athletic,5.0,1,2026-09-25
mixto2,4,Yuri Berchiche Yuri,Athletic,4.0,1,2026-09-25
mixto2,3,Yuri Berchiche Yuri,Athletic,5.0,1,2026-09-25
mixto2,1,Yuri Berchiche Yuri,Athletic,,0,2026-09-25
mixto2,2,Yuri Berchiche Yuri,Athletic,-9.0,1,2026-09-25
mixto2,7,Iñaki Williams I. Williams,Athletic,1.0,1,2026-09-25
mixto2,5,Iñaki Williams I. Williams,Athletic,3.0,1,2026-09-25
mixto2,4,Iñaki Williams I. Williams,Athletic,4.0,1,2026-09-25
mixto2,3,Iñaki Williams I. Williams,Athletic,3.0,1,2026-09-25
mixto2,1,Iñaki Williams I. Williams,Athletic,1.0,1,2026-09-25
mixto2,2,Iñaki Williams I. Williams,Athletic,2.0,1,2026-09-25
mixto2,7,Yeray Álvarez Yeray,Athletic,,0,2026-09-25
mixto2,5,Yeray Álvarez Yeray,Athletic,3.0,1,2026-09-25
mixto2,4,Yeray Álvarez Yeray,Athletic,5.0,1,2026-09-25
